id,Vendor_id,Vendor_Name,Item_Name,Item_id,Grossweight,Mtrs,Corewt,Rollno,Created_By,Created_Dt,Invoice_No,Invoice_By,Invoice_Dt,Rate,Updated_By,Updated_Dt,Confirm_Rate,Confirm_By,Confirm_Dt,Sales_Confirm,Sales_Confirm_By,Sales_Confirm_Dt,Freight,Billed,Billed_Id,Billed_By,Billed_Dt,Freight_val,Unit,Order_id,Moveto,BillingNumber,TruckNumber,Anex_Confirm,Audit,Audit_By,Audit_Dt,Payment_App,Payment_App_By,Payment_App_Dt,BillingAmount,Audit_Verified,Audit_Verified_By,Audit_Verified_Dt,Weight_Verified,Weight_Verified_By,Weight_Verified_Dt
528121,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,164,2025,1.5,1604,UNIT3,20-03-2018 12:58,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528122,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,164.6,2000,1.7,1,UNIT3,20-03-2018 12:59,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528123,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,153,1865,1.6,700,UNIT3,20-03-2018 12:59,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528124,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,138.3,1685,1.5,1103,UNIT3,20-03-2018 13:00,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528125,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,169,2060,1.7,1011,UNIT3,20-03-2018 13:00,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528126,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,171.05,2185,1.8,1,UNIT3,20-03-2018 13:00,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528127,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,137,1665,1.5,1106,UNIT3,20-03-2018 13:01,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528128,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,121.35,1470,1.6,1067,UNIT3,21-03-2018 11:45,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528129,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,146.6,1750,1.5,1107,UNIT3,21-03-2018 11:46,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
528130,1005,SHANTHALA ENTERPRISES,17 HD W BASIC DSS L,3089,141.9,1705,1.5,104,UNIT3,21-03-2018 11:46,18339,NULL,21-03-2018 11:47,105.75,NULL,NULL,Y,murali,28-03-2018 10:27,Y,murali,28-03-2018 10:15,NULL,Y,5278,sangmesh,29-03-2018 12:05,0,3,12388,3,III02041,KA11A4791,S,Y,venkatesh,28-03-2018 10:38,Y,balu,28-03-2018 14:14,578463.14,Y,venkatesh,29-03-2018 12:19,Y,prakash,31-03-2018 13:21
